,ID,fsID,start,end,salience,fold,Class,class
0,100032-3-0-0,100032,0,0.317551,1,5,3,dog_bark
1,100263-2-0-117,100263,58.5,62.5,1,5,2,children_playing
2,100263-2-0-121,100263,60.5,64.5,1,5,2,children_playing
3,100263-2-0-126,100263,63,67,1,5,2,children_playing
4,100263-2-0-137,100263,68.5,72.5,1,5,2,children_playing
5,100263-2-0-143,100263,71.5,75.5,1,5,2,children_playing
6,100263-2-0-161,100263,80.5,84.5,1,5,2,children_playing
7,100263-2-0-3,100263,1.5,5.5,1,5,2,children_playing
8,100263-2-0-36,100263,18,22,1,5,2,children_playing
9,100652-3-0-0,100652,0,4,1,2,3,dog_bark
10,100652-3-0-1,100652,0.5,4.5,1,2,3,dog_bark
11,100652-3-0-2,100652,1,5,1,2,3,dog_bark
12,100652-3-0-3,100652,1.5,5.5,1,2,3,dog_bark
13,100852-0-0-0,100852,0,4,1,5,0,air_conditioner
14,100852-0-0-1,100852,0.5,4.5,1,5,0,air_conditioner
15,100852-0-0-10,100852,5,9,1,5,0,air_conditioner
16,100852-0-0-11,100852,5.5,9.5,1,5,0,air_conditioner
17,100852-0-0-12,100852,6,10,1,5,0,air_conditioner
18,100852-0-0-13,100852,6.5,10.5,1,5,0,air_conditioner
19,100852-0-0-14,100852,7,11,1,5,0,air_conditioner
20,100852-0-0-15,100852,7.5,11.5,1,5,0,air_conditioner
21,100852-0-0-16,100852,8,12,1,5,0,air_conditioner
22,100852-0-0-17,100852,8.5,12.5,1,5,0,air_conditioner
23,100852-0-0-18,100852,9,13,1,5,0,air_conditioner
24,100852-0-0-19,100852,9.5,13.5,1,5,0,air_conditioner
25,100852-0-0-2,100852,1,5,1,5,0,air_conditioner
26,100852-0-0-20,100852,10,14,1,5,0,air_conditioner
27,100852-0-0-21,100852,10.5,14.5,1,5,0,air_conditioner
28,100852-0-0-22,100852,11,15,1,5,0,air_conditioner
29,100852-0-0-23,100852,11.5,15.5,1,5,0,air_conditioner
30,100852-0-0-24,100852,12,16,1,5,0,air_conditioner
31,100852-0-0-25,100852,12.5,16.5,1,5,0,air_conditioner
32,100852-0-0-26,100852,13,17,1,5,0,air_conditioner
33,100852-0-0-27,100852,13.5,17.5,1,5,0,air_conditioner
34,100852-0-0-28,100852,14,18,1,5,0,air_conditioner
35,100852-0-0-29,100852,14.5,18.5,1,5,0,air_conditioner
36,100852-0-0-3,100852,1.5,5.5,1,5,0,air_conditioner
37,100852-0-0-30,100852,15,19,1,5,0,air_conditioner
38,100852-0-0-4,100852,2,6,1,5,0,air_conditioner
39,100852-0-0-5,100852,2.5,6.5,1,5,0,air_conditioner
40,100852-0-0-6,100852,3,7,1,5,0,air_conditioner
41,100852-0-0-7,100852,3.5,7.5,1,5,0,air_conditioner
42,100852-0-0-8,100852,4,8,1,5,0,air_conditioner
43,100852-0-0-9,100852,4.5,8.5,1,5,0,air_conditioner
